ID,Time,Position(x),Position(y),Position(z),
5,1.5,-9.281857,0,5.35148,
6,1.5,-9.750538,0,3.222795,
7,1.5,-9.886349,0,0.9669817,
1,1.52,-0.7500001,0,0.3750001,
2,1.52,-0.07472396,0,1.776783,
3,1.52,-0.6946631,0,5.678673,
4,1.52,-1.224246,0,3.539086,
5,1.52,-9.273821,0,5.35285,
6,1.52,-9.744044,0,3.222622,
7,1.52,-9.880875,0,0.9657888,
1,1.54,-0.7500001,0,0.3750001,
2,1.54,-0.08510675,0,1.779734,
3,1.54,-0.7066757,0,5.679994,
4,1.54,-1.237333,0,3.539333,
5,1.54,-9.259127,0,5.354211,
6,1.54,-9.730884,0,3.22245,
7,1.54,-9.868731,0,0.9646001,
1,1.56,-0.8000001,0,0.4000001,
2,1.56,-0.0888155,0,1.782691,
3,1.56,-0.7120224,0,5.681314,
4,1.56,-1.243747,0,3.539586,
5,1.56,-9.251101,0,5.35557,
6,1.56,-9.724385,0,3.222282,
7,1.56,-9.863252,0,0.9634126,
1,1.58,-0.8000001,0,0.4000001,
2,1.58,-0.09924635,0,1.785594,
3,1.58,-0.7240415,0,5.682628,
4,1.58,-1.256814,0,3.539851,
5,1.58,-9.236416,0,5.356921,
6,1.58,-9.711219,0,3.222115,
7,1.58,-9.851102,0,0.9622292,
1,1.6,-0.8000001,0,0.4000001,
2,1.6,-0.1030023,0,1.788505,
3,1.6,-0.7293947,0,5.683941,
4,1.6,-1.26321,0,3.540123,
5,1.6,-9.2284,0,5.35827,
6,1.6,-9.704716,0,3.221951,
7,1.6,-9.845617,0,0.9610469,
1,1.62,-0.8000001,0,0.4000001,
2,1.62,-0.113402,0,1.791438,
3,1.62,-0.7414203,0,5.685249,
4,1.62,-1.276271,0,3.540394,
5,1.62,-9.213727,0,5.359611,
6,1.62,-9.691545,0,3.221789,
7,1.62,-9.833462,0,0.9598688,
1,1.64,-0.8500001,0,0.4250001,
2,1.64,-0.1171272,0,1.79438,
3,1.64,-0.7467799,0,5.686556,
4,1.64,-1.282661,0,3.540672,
5,1.64,-9.205721,0,5.36095,
6,1.64,-9.685038,0,3.221631,
7,1.64,-9.827972,0,0.9586918,
1,1.66,-0.8500001,0,0.4250001,
2,1.66,-0.1275823,0,1.797258,
3,1.66,-0.7588117,0,5.687858,
4,1.66,-1.295704,0,3.540962,
5,1.66,-9.191057,0,5.362281,
6,1.66,-9.671862,0,3.221473,
7,1.66,-9.815811,0,0.9575189,
1,1.68,-0.8500001,0,0.4250001,
2,1.68,-0.131362,0,1.800145,
3,1.68,-0.7641774,0,5.689158,
4,1.68,-1.302074,0,3.541258,
5,1.68,-9.183062,0,5.36361,
6,1.68,-9.665349,0,3.221319,
7,1.68,-9.810316,0,0.9563472,
1,1.7,-0.8500001,0,0.4250001,
2,1.7,-0.1417824,0,1.803058,
3,1.7,-0.7762153,0,5.690454,
4,1.7,-1.315111,0,3.541554,
5,1.7,-9.168407,0,5.364931,
6,1.7,-9.652169,0,3.221166,
7,1.7,-9.798151,0,0.9551796,
1,1.72,-0.9000002,0,0.4500001,
2,1.72,-0.1455276,0,1.805979,
3,1.72,-0.7815872,0,5.691748,
4,1.72,-1.321476,0,3.541856,
5,1.72,-9.160421,0,5.366251,
6,1.72,-9.645652,0,3.221017,
7,1.72,-9.792651,0,0.954013,
1,1.74,-0.9000002,0,0.4500001,
2,1.74,-0.1560105,0,1.80883,
3,1.74,-0.7936311,0,5.693038,
4,1.74,-1.334495,0,3.542171,
5,1.74,-9.145777,0,5.367562,
6,1.74,-9.632466,0,3.220868,
7,1.74,-9.78048,0,0.9528505,
1,1.76,-0.9000002,0,0.4500001,
2,1.76,-0.1598172,0,1.81169,
3,1.76,-0.7990088,0,5.694326,
4,1.76,-1.340841,0,3.542491,
5,1.76,-9.1378,0,5.368872,
6,1.76,-9.625944,0,3.220723,
7,1.76,-9.774975,0,0.9516892,
1,1.78,-0.9000002,0,0.4500001,
2,1.78,-0.1702617,0,1.814579,
3,1.78,-0.8110585,0,5.69561,
4,1.78,-1.353855,0,3.542811,
5,1.78,-9.123165,0,5.370173,
6,1.78,-9.612755,0,3.220579,
7,1.78,-9.762798,0,0.9505319,
1,1.8,-0.9500002,0,0.4750001,
2,1.8,-0.1740304,0,1.817477,
3,1.8,-0.8164422,0,5.696893,
4,1.8,-1.360196,0,3.543136,
5,1.8,-9.115198,0,5.371474,
6,1.8,-9.606229,0,3.220438,
7,1.8,-9.757288,0,0.9493757,
1,1.82,-0.9500002,0,0.4750001,
2,1.82,-0.1845443,0,1.820296,
3,1.82,-0.8284975,0,5.698171,
4,1.82,-1.373191,0,3.543475,
5,1.82,-9.100573,0,5.372766,
6,1.82,-9.593036,0,3.220298,
7,1.82,-9.745108,0,0.9482236,
1,1.84,-0.9500002,0,0.4750001,
2,1.84,-0.1883815,0,1.823126,
3,1.84,-0.8338867,0,5.699449,
4,1.84,-1.379514,0,3.543819,
5,1.84,-9.092614,0,5.374058,
6,1.84,-9.586506,0,3.220162,
7,1.84,-9.739592,0,0.9470726,
1,1.86,-0.9500002,0,0.4750001,
2,1.86,-0.1988533,0,1.825987,
3,1.86,-0.8459476,0,5.700721,
4,1.86,-1.392504,0,3.544162,
5,1.86,-9.077998,0,5.375341,
6,1.86,-9.573309,0,3.220025,
7,1.86,-9.727406,0,0.9459256,
1,1.88,-1,0,0.5000001,
2,1.88,-0.2026488,0,1.828858,
3,1.88,-0.8513424,0,5.701993,
4,1.88,-1.398822,0,3.544511,
5,1.88,-9.070049,0,5.376624,
6,1.88,-9.566774,0,3.219893,
7,1.88,-9.721885,0,0.9447798,
1,1.9,-1,0,0.5000001,
2,1.9,-0.2131966,0,1.831644,
3,1.9,-0.8634087,0,5.70326,
4,1.9,-1.411793,0,3.544873,
5,1.9,-9.055441,0,5.377898,
6,1.9,-9.553574,0,3.219761,
7,1.9,-9.709693,0,0.9436377,
1,1.92,-1,0,0.5000001,
2,1.92,-0.220938,0,1.837236,
3,1.92,-0.874209,0,5.705793,
4,1.92,-1.424392,0,3.545607,
5,1.92,-9.039562,0,5.380444,
6,1.92,-9.540497,0,3.219504,
7,1.92,-9.698642,0,0.9413562,
1,1.94,-1,0,0.5000001,
2,1.94,-0.2258482,0,1.845659,
3,1.94,-0.8837473,0,5.709588,
4,1.94,-1.436612,0,3.54672,
5,1.94,-9.022417,0,5.384256,
6,1.94,-9.52754,0,3.219127,
