ID,Time,Position (x,y,z)
1,4.042738,(-4.4, 0.0, 6.7)
0,4.059305,(3.3, 0.0, 6.7)
1,4.059305,(-4.4, 0.0, 6.7)
0,4.075872,(3.3, 0.0, 6.7)
1,4.075872,(-4.4, 0.0, 6.7)
0,4.095885,(3.3, 0.0, 6.7)
1,4.095885,(-4.4, 0.0, 6.7)
0,4.112892,(3.3, 0.0, 6.7)
1,4.112892,(-4.4, 0.0, 6.7)
0,4.12902,(3.3, 0.0, 6.7)
1,4.12902,(-4.4, 0.0, 6.7)
0,4.145883,(3.3, 0.0, 6.7)
1,4.145883,(-4.4, 0.0, 6.7)
0,4.162155,(3.3, 0.0, 6.7)
1,4.162155,(-4.4, 0.0, 6.7)
0,4.17872,(3.3, 0.0, 6.7)
1,4.17872,(-4.4, 0.0, 6.7)
0,4.195287,(3.2, 0.0, 6.7)
1,4.195287,(-4.4, 0.0, 6.7)
0,4.211855,(3.2, 0.0, 6.7)
1,4.211855,(-4.3, 0.0, 6.7)
0,4.228469,(3.2, 0.0, 6.7)
1,4.228469,(-4.3, 0.0, 6.7)
0,4.244988,(3.2, 0.0, 6.7)
1,4.244988,(-4.3, 0.0, 6.7)
0,4.261554,(3.2, 0.0, 6.7)
1,4.261554,(-4.3, 0.0, 6.7)
0,4.278121,(3.2, 0.0, 6.7)
1,4.278121,(-4.3, 0.0, 6.7)
0,4.295041,(3.2, 0.0, 6.7)
1,4.295041,(-4.3, 0.0, 6.7)
0,4.313525,(3.2, 0.0, 6.7)
1,4.313525,(-4.3, 0.0, 6.7)
0,4.332417,(3.2, 0.0, 6.7)
1,4.332417,(-4.3, 0.0, 6.7)
0,4.351086,(3.2, 0.0, 6.7)
1,4.351086,(-4.3, 0.0, 6.7)
0,4.371836,(3.1, 0.0, 6.7)
1,4.371836,(-4.3, 0.0, 6.7)
0,4.392234,(3.1, 0.0, 6.7)
1,4.392234,(-4.2, 0.0, 6.7)
0,4.413329,(3.1, 0.0, 6.7)
1,4.413329,(-4.2, 0.0, 6.7)
0,4.433911,(3.1, 0.0, 6.7)
1,4.433911,(-4.2, 0.0, 6.7)
0,4.453864,(3.1, 0.0, 6.7)
1,4.453864,(-4.2, 0.0, 6.7)
0,4.47424,(3.1, 0.0, 6.7)
1,4.47424,(-4.2, 0.0, 6.7)
0,4.493492,(3.1, 0.0, 6.7)
1,4.493492,(-4.2, 0.0, 6.7)
0,4.513341,(3.1, 0.0, 6.7)
1,4.513341,(-4.2, 0.0, 6.7)
0,4.531074,(3.1, 0.0, 6.7)
1,4.531074,(-4.2, 0.0, 6.7)
0,4.549899,(3.1, 0.0, 6.7)
1,4.549899,(-4.2, 0.0, 6.7)
0,4.56762,(3.0, 0.0, 6.7)
1,4.56762,(-4.2, 0.0, 6.7)
0,4.586379,(3.0, 0.0, 6.7)
1,4.586379,(-4.1, 0.0, 6.7)
0,4.604936,(3.0, 0.0, 6.7)
1,4.604936,(-4.1, 0.0, 6.7)
0,4.624487,(3.0, 0.0, 6.7)
1,4.624487,(-4.1, 0.0, 6.7)
0,4.645282,(3.0, 0.0, 6.7)
1,4.645282,(-4.1, 0.0, 6.7)
0,4.667134,(3.0, 0.0, 6.7)
1,4.667134,(-4.1, 0.0, 6.7)
0,4.701251,(3.0, 0.0, 6.7)
1,4.701251,(-4.1, 0.0, 6.7)
0,4.724341,(3.0, 0.0, 6.7)
1,4.724341,(-4.1, 0.0, 6.7)
0,4.746287,(3.0, 0.0, 6.7)
1,4.746287,(-4.1, 0.0, 6.7)
0,4.774902,(3.0, 0.0, 6.7)
1,4.774902,(-4.1, 0.0, 6.7)
0,4.798824,(2.9, 0.0, 6.7)
1,4.798824,(-4.1, 0.0, 6.7)
0,4.821968,(2.9, 0.0, 6.7)
1,4.821968,(-4.0, 0.0, 6.7)
0,4.84405,(2.9, 0.0, 6.7)
1,4.84405,(-4.0, 0.0, 6.7)
0,4.866874,(2.9, 0.0, 6.7)
1,4.866874,(-4.0, 0.0, 6.7)
0,4.890795,(2.9, 0.0, 6.7)
1,4.890795,(-4.0, 0.0, 6.7)
0,4.913808,(2.9, 0.0, 6.7)
1,4.913808,(-4.0, 0.0, 6.7)
0,4.937153,(2.9, 0.0, 6.7)
1,4.937153,(-4.0, 0.0, 6.7)
0,4.960673,(2.9, 0.0, 6.7)
1,4.960673,(-4.0, 0.0, 6.7)
0,4.985105,(2.9, 0.0, 6.7)
1,4.985105,(-4.0, 0.0, 6.7)
0,5.008158,(2.9, 0.0, 6.7)
1,5.008158,(-4.0, 0.0, 6.7)
0,5.033692,(2.8, 0.0, 6.7)
1,5.033692,(-4.0, 0.0, 6.7)
0,5.056348,(2.8, 0.0, 6.7)
1,5.056348,(-3.9, 0.0, 6.7)
0,5.079314,(2.8, 0.0, 6.7)
1,5.079314,(-3.9, 0.0, 6.7)
0,5.103508,(2.8, 0.0, 6.7)
1,5.103508,(-3.9, 0.0, 6.7)
0,5.128417,(2.8, 0.0, 6.7)
1,5.128417,(-3.9, 0.0, 6.7)
0,5.152012,(2.8, 0.0, 6.7)
1,5.152012,(-3.9, 0.0, 6.7)
0,5.176182,(2.8, 0.0, 6.7)
1,5.176182,(-3.9, 0.0, 6.7)
0,5.201102,(2.8, 0.0, 6.7)
1,5.201102,(-3.9, 0.0, 6.7)
0,5.225419,(2.8, 0.0, 6.7)
1,5.225419,(-3.9, 0.0, 6.7)
0,5.25079,(2.8, 0.0, 6.7)
1,5.25079,(-3.9, 0.0, 6.7)
0,5.276026,(2.7, 0.0, 6.7)
1,5.276026,(-3.9, 0.0, 6.7)
0,5.311736,(2.7, 0.0, 6.7)
1,5.311736,(-3.8, 0.0, 6.7)
0,5.337816,(2.7, 0.0, 6.7)
1,5.337816,(-3.8, 0.0, 6.7)
0,5.361812,(2.7, 0.0, 6.7)
1,5.361812,(-3.8, 0.0, 6.7)
0,5.38578,(2.7, 0.0, 6.7)
1,5.38578,(-3.8, 0.0, 6.7)
0,5.408414,(2.7, 0.0, 6.7)
1,5.408414,(-3.8, 0.0, 6.7)
0,5.433284,(2.7, 0.0, 6.7)
1,5.433284,(-3.8, 0.0, 6.7)
0,5.456651,(2.7, 0.0, 6.7)
1,5.456651,(-3.8, 0.0, 6.7)
0,5.480818,(2.7, 0.0, 6.7)
1,5.480818,(-3.8, 0.0, 6.7)
0,5.505582,(2.7, 0.0, 6.7)
1,5.505582,(-3.8, 0.0, 6.7)
0,5.529541,(2.6, 0.0, 6.7)
1,5.529541,(-3.8, 0.0, 6.7)
0,5.553658,(2.6, 0.0, 6.7)
1,5.553658,(-3.7, 0.0, 6.7)
0,5.57698,(2.6, 0.0, 6.7)
1,5.57698,(-3.7, 0.0, 6.7)
0,5.60121,(2.6, 0.0, 6.7)
1,5.60121,(-3.7, 0.0, 6.7)
0,5.625744,(2.6, 0.0, 6.7)
1,5.625744,(-3.7, 0.0, 6.7)
0,5.649944,(2.6, 0.0, 6.7)
1,5.649944,(-3.7, 0.0, 6.7)
0,5.674957,(2.6, 0.0, 6.7)
1,5.674957,(-3.7, 0.0, 6.7)
0,5.698304,(2.6, 0.0, 6.7)
1,5.698304,(-3.7, 0.0, 6.7)
0,5.721967,(2.6, 0.0, 6.7)
1,5.721967,(-3.7, 0.0, 6.7)
0,5.744352,(2.6, 0.0, 6.7)
1,5.744352,(-3.7, 0.0, 6.7)
0,5.767332,(2.5, 0.0, 6.7)
1,5.767332,(-3.7, 0.0, 6.7)
0,5.792039,(2.5, 0.0, 6.7)
1,5.792039,(-3.6, 0.0, 6.7)
0,5.816638,(2.5, 0.0, 6.7)
1,5.816638,(-3.6, 0.0, 6.7)
0,5.842685,(2.5, 0.0, 6.7)
1,5.842685,(-3.6, 0.0, 6.7)
0,5.86779,(2.5, 0.0, 6.7)
1,5.86779,(-3.6, 0.0, 6.7)
0,5.904138,(2.5, 0.0, 6.7)
1,5.904138,(-3.6, 0.0, 6.7)
0,5.928908,(2.5, 0.0, 6.7)
1,5.928908,(-3.6, 0.0, 6.7)
0,5.954367,(2.5, 0.0, 6.7)
1,5.954367,(-3.6, 0.0, 6.7)
0,5.982013,(2.5, 0.0, 6.7)
1,5.982013,(-3.6, 0.0, 6.7)
0,6.007595,(2.5, 0.0, 6.7)
1,6.007595,(-3.6, 0.0, 6.7)
0,6.032702,(2.4, 0.0, 6.7)
1,6.032702,(-3.6, 0.0, 6.7)
0,6.056166,(2.4, 0.0, 6.7)
1,6.056166,(-3.5, 0.0, 6.7)
0,6.079794,(2.4, 0.0, 6.7)
1,6.079794,(-3.5, 0.0, 6.7)
0,6.102936,(2.4, 0.0, 6.7)
1,6.102936,(-3.5, 0.0, 6.7)
0,6.127178,(2.4, 0.0, 6.7)
1,6.127178,(-3.5, 0.0, 6.7)
0,6.14934,(2.4, 0.0, 6.7)
1,6.14934,(-3.5, 0.0, 6.7)
0,6.172287,(2.4, 0.0, 6.7)
1,6.172287,(-3.5, 0.0, 6.7)
0,6.194032,(2.4, 0.0, 6.7)
1,6.194032,(-3.5, 0.0, 6.7)
0,6.217071,(2.4, 0.0, 6.7)
1,6.217071,(-3.5, 0.0, 6.7)
0,6.241188,(2.4, 0.0, 6.7)
1,6.241188,(-3.5, 0.0, 6.7)
0,6.267188,(2.3, 0.0, 6.7)
1,6.267188,(-3.5, 0.0, 6.7)
0,6.293474,(2.3, 0.0, 6.7)
1,6.293474,(-3.4, 0.0, 6.7)
0,6.31908,(2.3, 0.0, 6.7)
1,6.31908,(-3.4, 0.0, 6.7)
0,6.344895,(2.3, 0.0, 6.7)
1,6.344895,(-3.4, 0.0, 6.7)
0,6.372201,(2.3, 0.0, 6.7)
1,6.372201,(-3.4, 0.0, 6.7)
0,6.397736,(2.3, 0.0, 6.7)
1,6.397736,(-3.4, 0.0, 6.7)
0,6.424,(2.3, 0.0, 6.7)
1,6.424,(-3.4, 0.0, 6.7)
0,6.44977,(2.3, 0.0, 6.7)
1,6.44977,(-3.4, 0.0, 6.7)
0,6.47541,(2.3, 0.0, 6.7)
1,6.47541,(-3.4, 0.0, 6.7)
0,6.511997,(2.3, 0.0, 6.7)
1,6.511997,(-3.4, 0.0, 6.7)
0,6.537694,(2.2, 0.0, 6.7)
1,6.537694,(-3.4, 0.0, 6.7)
